SN,TIME,TotalTime,ECODE,RESULT,ToolVersion,WorkId,1,2,2.4G_A,2.4G_B,5G_A,5G_B,7,flag
EHUBB17C11000037,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-44,-41,-35,-33,OK,
EHUBB17C11000099,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-49,-43,-36,-33,OK,
EHUBB17C11000085,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-47,-43,-37,-33,OK,
EHUBB17C11000096,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-45,-41,-35,-33,OK,
EHUBB17C11000030,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-49,-43,-35,-33,OK,
EHUBB17C11000100,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-44,-44,-35,-34,OK,
EHUBB17C11000023,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-48,-45,-36,-33,OK,
EHUBB17C11000031,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-47,-45,-36,-33,OK,
5JEBB17C07000019,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-43,-44,-39,-33,OK,
EHUBB17C11000035,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-45,-44,-36,-34,OK,
EHUBB17C11000041,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-47,-41,-36,-33,OK,
EHUBB17C11000049,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-47,-45,-37,-34,OK,
EHUBB17C11000079,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-46,-43,-35,-33,OK,
EHUBB17C11000032,2.02E+13,33,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-48,-44,-35,-33,OK,
EHUBB17C11000045,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-48,-44,-36,-34,OK,
EHUBB17C11000039,2.02E+13,93,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-48,-45,-36,-34,OK,
EHUBB17C11000051,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-44,-45,-36,-33,OK,
EHUBB17C11000046,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-44,-43,-36,-33,OK,
EHUBB17C11000024,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-44,-44,-37,-34,OK,
EHUBB17C11000028,2.02E+13,42,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-46,-45,-38,-33,OK,
EHUBB17C11000075,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-44,-44,-36,-33,OK,
EHUBB17C09000002,2.02E+13,44,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-49,-44,-36,-34,OK,
EHUBB17C11000029,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-48,-40,-36,-33,OK,
EHUBB17C11000026,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-45,-43,-36,-33,OK,
EHUBB17C11000111,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-45,-44,-37,-33,OK,
EHUBB17C11000022,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-43,-44,-37,-34,OK,
EHUBB17C11000074,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-46,-43,-36,-33,OK,
EHUBB17C11000088,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-44,-44,-36,-34,OK,
EHUBB17C11000048,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-48,-46,-35,-34,OK,
EHUBB17C11000040,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-46,-45,-36,-33,OK,
EHUBB17C11000077,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-46,-43,-37,-37,OK,
EHUBB17C11000104,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-46,-43,-36,-34,OK,
EHUBB17C11000112,2.02E+13,36,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-47,-43,-36,-33,OK,
EHUBB17C11000055,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-46,-44,-37,-33,OK,
EHUBB17C11000053,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-46,-44,-37,-33,OK,
EHUBB17C11000054,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-45,-44,-37,-34,OK111,
